name,audit_aif_version,exptl_adsorptive,exptl_adsorptive_name,exptl_date,exptl_digitizer,exptl_instrument,exptl_isotherm_type,exptl_method,exptl_operator,exptl_temperature,adsnt_degas_summary,adsnt_hashkey,adsnt_info,adsnt_material_id,adsnt_sample_id,simltn_code,simltn_date,simltn_forcefield_adsorbent,simltn_forcefield_adsorptive,simltn_input_files,simltn_lot,simltn_sampling,simltn_size,simltn_adsorbent_filename,simltn_forcefield_adsnt,units_composition_type,units_density,units_loading,units_mass,units_pressure,units_temperature,units_time,units_fugacity,units_qst,citation_doi,citation_source
CH4_CuBTC_300K,,,Methane,2023-08-09,,,absolute,,,300.0,,,,CuBTC,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_CuBTC_350K,,,Methane,2023-08-08,,,absolute,,,350.0,,,,CuBTC,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_IRMOF1_300K,,,Methane,2023-08-08,,,absolute,,,300.0,,,,IRMOF-1,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.IRMOF1_mCBAC_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_IRMOF1_350K,,,Methane,2023-08-09,,,absolute,,,350.0,,,,IRMOF-1,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.IRMOF1_mCBAC_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_UiO66_300K,,,Methane,2023-08-16,,,absolute,,,300.0,,,,UiO-66,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.UiO66_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_UiO66_350K,,,Methane,2023-08-18,,,absolute,,,350.0,,,,UiO-66,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.UiO66_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_ZIF8_300K,,,Methane,2023-08-07,,,absolute,,,300.0,,,,ZIF-8,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CH4_ZIF8_350K,,,Methane,2023-08-09,,,absolute,,,350.0,,,,ZIF-8,,,,see adsorbent file,TraPPE CH4; 12ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_CuBTC_300K,,,Carbon Dioxide,2022-08-20,,,absolute,,,300.0,,,,CuBTC,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_CuBTC_350K,,,Carbon Dioxide,2022-09-16,,,absolute,,,350.0,,,,CuBTC,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_IRMOF1_300K,,,Carbon Dioxide,2022-08-20,,,absolute,,,300.0,,,,IRMOF-1,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.IRMOF1_mCBAC_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_IRMOF1_350K,,,Carbon Dioxide,2022-09-16,,,absolute,,,350.0,,,,IRMOF-1,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.IRMOF1_mCBAC_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_UiO66_300K,,,Carbon Dioxide,2022-09-01,,,absolute,,,300.0,,,,UiO-66,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.UiO66_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_UiO66_350K,,,Carbon Dioxide,2022-09-18,,,absolute,,,350.0,,,,UiO-66,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.UiO66_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_ZIF8_300K,,,Carbon Dioxide,2022-08-31,,,absolute,,,300.0,,,,ZIF-8,,,,see adsnt file,TraPPE CO2; 12ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
CO2_ZIF8_350K,,,Carbon Dioxide,2022-08-31,,,absolute,,,350.0,,,,ZIF-8,,,,see adsorbent file,TraPPE CO2; 12ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
H2O_CuBTC_300K,,,Water,,,,absolute,,,300.0,,,,CuBTC,,,,see adsorbent file,SPC/E H2O; 10ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,RELATIVE,K,,PA,KiloJ-PER-MOL,,
H2O_ZIF8_300K,,,Water,,,,absolute,,,300.0,,,,ZIF-8,,,,,SPC/E Water; 10ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,see adsnt file,,,MOL-PER-KiloGM,,RELATIVE,K,,PA,KiloJ-PER-MOL,,
N2_CuBTC_300K,,,Nitrogen,2023-08-02,,,absolute,,,300.0,,,,CuBTC,,,,see adsorbent file,TraPPE N2; 12ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
N2_CuBTC_350K,,,Nitrogen,2023-08-08,,,absolute,,,350.0,,,,CuBTC,,,,see adsorbent file,TraPPE N2; 12ang linear-force shift,,,,,data.CuBTC_CaleroIV_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
N2_IRMOF1_300K,,,Nitrogen,2023-07-29,,,absolute,,,300.0,,,,IRMOF-1,,,,see adsorbent file,TraPPE N2; 12ang linear-force shift,,,,,data.IRMOF1_mCBAC_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
N2_IRMOF1_350K,,,Nitrogen,2023-08-09,,,absolute,,,350.0,,,,IRMOF-1,,,,see adsorbent file,TraPPE N2; 12ang linear-force shift,,,,,data.IRMOF1_mCBAC_rep111,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
N2_ZIF8_300K,,,Nitrogen,2023-07-27,,,absolute,,,300.0,,,,ZIF-8,,,,see adsorbent file,TraPPE N2; 12ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
N2_ZIF8_350K,,,Nitrogen,2023-08-02,,,absolute,,,350.0,,,,ZIF-8,,,,see adsorbent file,TraPPE N2; 12ang linear-force shift,,,,,data.ZIF8_Snurr_rep222,,,,MOL-PER-KiloGM,,BAR,K,,BAR,KiloJ-PER-MOL,,
